segclass,funclass,x,y
Z,7,6372939.989,2048189.187
4,5,6274102.858,2047508.008
5,L,6405151.409,2063269.068
Z,7,6260261.575,1960713.976
5,L,6359940.529,1858147.964
Z,7,6238281.524,2103132.74
M,M,6257398.835,1838443.994
M,M,6256753.346,1837628.529
M,M,6256492.572,1837454.067
3,4,6304740.167,1833908.005
4,C,6315655.019,1833711.015
Z,7,6282279.665,2006833.143
Z,7,6387385.182,1949623.895
5,L,6541276.175,1838125.976
5,L,6541094.988,1838757.895
Z,L,6318932.14,1797411.507
M,M,6238612.007,2060032.647
H,L,6280415.95,1869383.938
M,M,6240394.59,2059793.889
M,M,6240498.02,2059145.543
M,M,6233545.884,2066194.71
5,L,6298558.999,1830211.501
M,M,6233173.554,2065929.532
M,M,6234655.588,2064110.03
M,M,6232735.959,2064437.958
M,M,6233438.405,2063715.104
M,M,6170914.193,2090546.487
M,M,6173219.914,2090388.008
Z,7,6343349.109,2020841.196
5,L,6291758.701,1871422.552
Z,7,6389401.066,1881273.982
9,R,6327448.253,1836203.585
5,L,6270804.145,1852423.907
5,L,6286915.188,1873240.721
4,3,6400770.855,1945274.066
Z,7,6280733.917,2074311.906
Z,U,6445110.988,1789751.026
Z,U,6381733.647,1816954.149
Z,U,6385753.519,1827754.088
Z,U,6437281.199,1789092.006
5,L,6393093.561,1936556.711
5,U,6407533.429,2067463.649
5,L,6473031.86,1826167.243
Z,7,6296988.903,2033960.017
Z,7,6330222.21,1828304.114
5,L,6283071.0,1858232.99
5,L,6475310.424,1827564.211
9,R,6285603.529,1842676.647
5,L,6272768.695,1857159.792
9,R,6285721.516,1842742.037
Z,7,6275754.654,2035076.657
7,7,6535136.594,1883617.974
5,L,6378761.678,1800458.552
6,U,6402119.191,1939614.757
7,7,6536874.639,1882708.527
6,U,6538092.586,1878853.673
M,M,6297873.633,1893589.582
7,7,6401074.582,1975947.887
7,7,6402387.409,1975626.757
Z,7,6305384.131,1859306.012
5,L,6373106.59,1871364.13
5,L,6410937.316,1884578.76
6,U,6408395.364,1806079.761
5,L,6264309.724,1869720.078
M,M,6270371.212,1851769.039
4,5,6274507.29,2069192.008
M,M,6215491.995,2025979.712
Z,7,6279981.458,2068605.398
5,L,6424399.949,1912252.14
5,U,6486377.812,1902209.44
Z,7,6339017.498,2048252.008
6,U,6375022.083,1871434.327
5,L,6407021.293,1807045.233
Z,7,6264930.627,2064873.263
Z,7,6330338.849,2048091.522
Z,7,6347428.972,2042816.997
5,L,6340216.287,2071658.613
5,L,6440867.873,2056137.17
5,L,6287252.774,1832492.304
Z,7,6272853.421,2039549.782
Z,7,6345848.108,2044409.498
5,L,6264567.0,1870504.0
5,L,6338690.977,1804998.587
5,L,6256618.339,1877802.54
5,L,6385834.59,1888980.984
M,M,6256547.599,1837261.142
4,5,6253564.949,2091143.823
M,M,6286381.907,1903777.177
5,L,6238842.622,2013988.653
Z,7,6265847.453,2078599.366
5,U,6490182.547,1915452.453
5,L,6335902.962,1838744.977
M,M,6220350.339,2057317.56
M,M,6220625.531,2056825.063
M,M,6219865.93,2056387.163
M,M,6238462.801,2057473.193
M,M,6174707.782,2089998.838
5,L,6426552.487,2078470.454
M,M,6176903.884,2088729.776
5,L,6538612.681,1834687.162
5,L,6291923.5,1848361.997
M,M,6233022.163,2063159.624
M,M,6232746.135,2066209.736
6,U,6295142.604,1936185.049
6,U,6294268.331,1948584.774
M,M,6216539.683,2070576.596
M,M,6171307.139,2091679.583
5,L,6491440.742,1880592.491
4,2,6338122.733,1857758.038
M,M,6220633.362,2094212.096
6,U,6412455.616,1873718.032
M,M,6228149.905,2057137.254
M,M,6235935.539,2057051.721
5,L,6587198.751,1898640.703
5,L,6580209.041,1896556.087
5,L,6391538.583,1885394.756
M,M,6236164.807,2059809.107
5,L,6299098.437,1874463.8
5,U,6431990.27,1904140.049
3,4,6311853.126,1866536.3
M,M,6227289.001,2061017.047
M,M,6235789.811,2059246.297
M,M,6236582.214,2057848.282
5,L,6295685.664,1900610.744
6,U,6336060.609,1918262.564
M,M,6164317.478,2081323.896
4,C,6160166.55,2110118.511
4,C,6159380.299,2106278.152
Z,7,6300145.086,1925025.038
Z,7,6321074.0,2047139.0
M,M,6223086.664,2080580.0
5,L,6258360.528,1898166.015
M,M,6236623.668,2055734.116
M,M,6231538.693,2056245.643
M,M,6237281.575,2056637.926
M,M,6228335.644,2055718.888
5,L,6365525.543,2087043.452
Z,7,6257515.555,1905021.323
Z,7,6370567.412,1921435.45
Z,7,6370616.039,1921406.631
M,M,6179408.695,2069364.823
5,L,6341784.351,2073794.676
Z,7,6365411.089,2076126.553
5,L,6500447.508,1862632.353
M,M,6239300.272,2049889.206
M,M,6159241.625,2087429.357
M,M,6158357.275,2086900.428
M,M,6159758.355,2086885.243
M,M,6157230.797,2085920.781
6,U,6294284.347,1947803.897
M,M,6293884.751,1828508.677
M,M,6235595.417,2053782.747
M,M,6227579.685,2051923.306
M,M,6236295.33,2054480.808
3,4,6151545.665,2089986.762
7,7,6259970.517,1902921.358
H,7,6311148.509,1838720.996
5,L,6288400.378,1833244.048
3,4,6304732.994,1833321.013
7,7,6351362.985,1877616.646
M,M,6234345.161,2053732.786
M,M,6236624.255,2052161.193
M,M,6235008.996,2052240.391
M,M,6291416.822,1830198.242
Z,7,6293796.295,2094818.32
5,L,6274494.069,1984310.295
5,L,6291677.004,1936863.5
5,L,6291733.005,1936862.509
5,L,6297668.007,1834582.007
5,L,6331912.388,1885492.469
7,7,6351051.674,1877764.296
7,7,6351197.95,1877778.879
4,2,6290548.616,1952684.713
Z,7,6275597.592,2034205.311
5,L,6339121.67,1804458.191
5,L,6326953.675,2022578.072
5,L,6268274.398,2062662.325
Z,7,6256812.397,1904835.439
M,M,6292443.672,1906023.682
Z,U,6377324.472,2089059.806
M,M,6159700.309,2084767.304
4,C,6285545.204,1927510.971
M,M,6211013.616,2023561.982
M,M,6218183.019,2030413.145
M,M,6213714.167,2026990.262
5,L,6357174.459,2088395.519
5,L,6373883.23,2073983.323
Z,7,6375106.832,1917515.786
5,U,6464493.341,1807447.224
6,U,6346697.036,2013800.413
Z,U,6404050.972,1788456.7
5,L,6323191.718,1823839.244
P,P,6323119.0,1823820.991
Z,7,6396809.657,1802427.401
Z,U,6457981.892,1791103.002
5,L,6382643.986,1937457.841
Z,U,6233966.869,2102126.773
5,L,6318187.261,1977031.974
Z,7,6322509.319,1888509.396
4,3,6429258.5,1885033.021
5,L,6366419.148,1890216.243
3,D,6429341.908,1884510.17
4,C,6252446.142,2089674.987
5,L,6521517.936,1993466.916
Z,U,6552173.099,2064766.929
Z,U,6553039.736,2059538.911
Z,U,6552616.577,2058320.416
5,L,6461413.758,2036529.382
H,L,6311051.06,1789818.478
6,U,6365386.049,1984781.708
Z,7,6303806.998,1940513.497
5,L,6389425.547,1799040.528
5,L,6493950.128,1857548.73
5,L,6290120.261,1994103.807
Z,7,6338696.874,2022161.791
Z,7,6339006.091,2021436.25
W,W,6323521.378,1790823.593
6,U,6394127.95,1859180.627
Z,7,6258174.344,1880300.085
Z,7,6318890.485,1797470.825
5,L,6454899.86,1972931.732
5,L,6342989.41,2091669.514
Z,U,6458512.675,1927440.981
5,L,6488942.376,1949884.138
Z,7,6254493.948,1857681.015
5,L,6313753.267,1830967.086
5,L,6313827.515,1830739.005
7,7,6332179.19,2008599.573
5,L,6255521.244,1886737.155
5,L,6298306.495,1830331.002
H,7,6311424.98,1838064.499
M,M,6181518.732,2092387.304
3,4,6152533.546,2092010.816
H,7,6311331.917,1838681.977
H,7,6311443.92,1838675.952
Z,U,6349184.777,2038955.945
3,4,6151791.324,2090121.403
Z,U,6352111.115,1930577.668
Z,7,6370529.822,1921656.199
Z,7,6371793.699,1920423.543
5,L,6375146.705,1814853.662
5,L,6302085.998,1832513.762
M,M,6239015.088,2060916.57
M,M,6238297.422,2061133.797
M,M,6237358.173,2064033.299
Z,7,6279488.03,2036026.218
Z,7,6352045.427,1792005.401
Z,7,6318962.179,1797468.943
5,L,6327504.751,1988790.899
6,U,6538903.682,1877660.272
Z,7,6270702.999,1857044.5
5,L,6549010.133,1825927.333
5,L,6298310.751,1874704.866
Z,7,6303534.238,1931244.608
5,L,6265442.272,1869812.33
5,L,6264599.942,1870803.239
5,L,6265744.859,1874512.394
5,L,6264117.918,1870683.985
5,L,6314731.466,1830910.604
5,L,6426545.399,1841928.664
5,L,6500973.962,1902474.081
Z,7,6365433.42,1891062.433
3,4,6306539.999,1848522.974
5,L,6501022.016,1901674.239
P,P,6506666.761,1897679.737
5,L,6432734.746,1919616.675
M,M,6187621.477,2082649.073
5,L,6290297.856,2092569.298
5,L,6290081.603,2093079.476
Z,7,6353488.81,1861718.279
5,L,6265709.773,2078013.882
5,L,6379657.076,1843897.0
Z,7,6336841.085,1960097.226
5,L,6554016.965,1848584.646
M,M,6159699.56,2087094.579
M,M,6237499.674,2063983.447
M,M,6186122.138,2083219.086
M,M,6186654.011,2083010.043
M,M,6187002.223,2082791.034
Z,7,6311239.044,1790279.588
Z,7,6310976.87,1789950.656
Z,7,6311197.139,1789871.848
M,M,6196502.127,2083652.616
M,M,6206656.048,2076091.548
Z,7,6259661.791,1858360.049
M,M,6160786.541,2087109.031
M,M,6159303.71,2086887.486
5,L,6298700.038,1874516.454
5,L,6500926.153,1904780.798
2,6,6595695.816,1875504.416
M,M,6240435.073,2061345.507
Z,U,6378134.261,2087539.738
5,L,6266110.893,1870155.085
5,L,6338490.968,1802775.231
5,L,6265498.553,1875097.297
5,L,6265899.979,1874580.024
5,L,6263799.184,1871154.437
5,L,6263879.114,1871051.923
5,L,6300929.386,1997294.668
5,L,6338819.093,1804116.025
5,L,6301459.887,1997119.659
5,L,6301470.319,1997303.314
5,L,6384172.518,2080848.06
5,L,6298706.146,1874622.944
5,L,6298647.441,1874564.831
5,L,6342508.907,1845006.747
5,L,6342591.5,1845545.011
5,L,6342446.215,1845356.826
5,L,6342283.434,1844537.613
5,L,6342513.202,1844344.608
5,L,6342227.15,1845222.787
5,L,6260327.725,1858370.209
5,L,6259814.706,1859304.551
Z,U,6466169.105,1934822.3
5,L,6259492.174,1859244.566
5,U,6408488.453,1930140.903
Z,7,6414548.898,2011683.724
5,L,6258512.468,1854351.889
5,L,6553414.697,2013257.473
5,L,6552337.601,2012103.824
5,L,6279676.277,1854565.0
Z,U,6478997.339,2005453.522
M,M,6224335.318,2082657.778
M,M,6155026.184,2087014.974
M,M,6155815.892,2087970.774
M,M,6156816.105,2087444.915
2,6,6260851.995,2082050.49
5,L,6276915.044,1850231.941
5,L,6270964.803,1852410.695
5,L,6274142.046,1850743.379
M,M,6234499.828,2071746.31
M,M,6234919.246,2071752.751
5,L,6260945.622,1847070.934
5,L,6260975.328,1846751.002
M,M,6168952.797,2100100.59
M,M,6167824.489,2099470.617
5,L,6274292.83,1850637.834
5,L,6273929.869,1850843.839
M,M,6228785.555,2055367.837
M,M,6239950.918,2059904.616
Z,U,6485177.682,2001576.596
Z,7,6262333.698,2077472.963
Z,7,6283161.51,2094197.016
3,4,6312577.543,1999286.03
Z,U,6482291.842,2002745.922
M,M,6195631.03,2063718.846
M,M,6205693.134,2068270.621
M,M,6237129.679,2055778.056
M,M,6156060.773,2086627.786
M,M,6157379.277,2086684.777
5,L,6269549.364,1869894.26
5,L,6264583.451,1870364.224
H,L,6282016.146,1879409.743
M,M,6181668.398,2067542.942
M,M,6238322.677,2059352.975
M,M,6231891.0,2068458.999
M,M,6206775.658,2074091.45
M,M,6235497.887,2055052.746
5,L,6285404.965,1875431.509
W,W,6287282.979,1916622.513
5,L,6276952.917,1982239.948
5,L,6522290.878,2036071.51
Z,7,6251535.999,2015068.108
5,L,6239322.65,2015275.581
3,4,6316102.98,1999120.253
3,4,6316537.38,1998991.653
5,L,6338084.441,1819417.827
Z,7,6305411.774,1858913.031
5,L,6295795.657,1985157.955
5,L,6295366.135,1984734.379
6,U,6351165.208,1815384.674
5,L,6306176.628,1971168.664
5,L,6413349.797,1941283.903
5,L,6345422.473,1819192.5
Z,7,6295841.034,1952613.977
5,L,6344486.104,1805997.17
5,L,6321663.96,2000962.803
5,L,6321865.836,2001285.628
Z,7,6250824.629,2015075.884
Z,7,6250883.586,2015426.139
Z,7,6251100.583,2015114.203
5,L,6317541.513,1997545.032
5,L,6341726.086,1845011.356
5,L,6343144.867,1845801.769
5,L,6342989.117,1845631.6
5,L,6318526.263,1838705.1
P,P,6335097.549,1828551.641
Z,7,6252120.748,2035960.301
Z,7,6250849.261,2015254.05
Z,7,6296809.503,1952244.701
5,L,6321433.3,2000086.922
5,L,6344729.182,1806542.897
Z,7,6316551.56,1810451.317
5,L,6335704.168,1809242.415
Z,7,6312555.101,1805361.905
Z,7,6312748.62,1805423.76
P,P,6304818.952,1818381.655
5,L,6348601.232,1818267.732
5,L,6336505.72,1819299.274
Z,7,6337623.246,1819157.908
5,L,6308185.933,1971389.634
5,L,6593053.513,1808390.045
5,L,6353172.304,1879064.006
Z,7,6354922.719,1880337.995
5,L,6313431.326,1830862.944
5,L,6259350.69,1859262.087
Z,7,6345798.0,1878985.002
5,L,6290056.311,1884440.307
Z,7,6297293.001,2034128.384
5,L,6329702.0,1841994.0
Z,7,6261508.332,2080383.836
Z,7,6420722.492,1887856.736
Z,7,6420973.58,1888325.036
5,L,6264420.536,1871321.779
5,L,6366316.81,1890150.807
5,9,6393940.555,1898010.756
Z,7,6411344.235,1826013.052
7,7,6404090.843,1823129.991
5,L,6274505.252,1850655.027
5,L,6270798.303,1852391.151
5,L,6338596.987,1804773.416
Z,7,6290623.884,1923190.864
Z,7,6345457.877,1951455.182
5,L,6349551.722,2083957.023
Z,7,6289111.281,1882406.181
Z,7,6334651.571,1886811.225
5,L,6270291.779,1845004.561
5,L,6270127.243,1853055.769
5,L,6277271.131,1853296.039
5,U,6579965.333,1804588.703
5,L,6335794.867,2096157.855
5,L,6245540.858,1880048.058
5,L,6246047.683,1879710.869
Z,U,6392450.083,1930586.162
5,L,6255357.419,1843813.158
5,L,6255858.617,1889719.773
5,L,6255075.584,1842619.357
5,L,6284495.946,1857535.471
5,L,6343574.818,1810203.953
M,M,6207622.815,2035545.878
M,M,6208460.602,2034806.603
M,M,6207955.517,2036620.215
Z,7,6289552.839,2030428.014
4,C,6429270.999,1884599.049
M,M,6238390.958,2064608.038
M,M,6239618.346,2064747.451
W,W,6343001.734,1809456.315
W,W,6342350.289,1810443.506
W,W,6342525.789,1809987.124
5,L,6350822.468,1784760.992
W,W,6362568.046,1890785.414
M,M,6201913.75,2043278.805
5,L,6300241.8,1973990.105
4,3,6429253.499,1885213.049
Z,7,6221106.043,2119662.104
5,L,6300979.542,1997031.303
5,L,6300802.105,1997118.356
P,P,6274398.998,1866204.5
5,L,6334880.006,1819222.497
5,L,6243183.343,2041879.464
5,L,6243286.353,2042172.028
5,L,6243528.038,2042159.13
5,L,6242873.927,2042057.261
5,L,6243604.851,2041591.565
M,M,6157472.38,2089870.381
5,L,6341682.076,1814252.66
M,M,6157571.863,2090290.555
Z,7,6289401.711,2030011.932
6,U,6423384.311,1792266.586
5,L,6252833.003,2022576.5
5,L,6336457.785,1851311.127
W,W,6327522.733,1825207.655
Z,7,6289016.03,2030316.132
5,L,6352832.871,1786225.184
Z,7,6288204.787,2030987.411
M,M,6239692.211,2064834.013
5,L,6347718.32,1818446.97
Z,U,6269823.126,1973184.673
Z,U,6270423.767,1974019.659
P,P,6289743.995,1793397.5
P,P,6274250.994,1866206.0
P,P,6274464.513,1866291.964
Z,7,6257320.984,2012078.833
Z,7,6247201.936,2011047.162
5,L,6252630.619,2018688.28
5,L,6310425.019,1978918.458
P,P,6306165.247,1987376.229
P,P,6306024.484,1987294.316
5,L,6435678.377,1876133.074
Z,U,6351469.326,2041164.214
5,L,6213179.153,2019529.606
5,L,6228814.286,2025537.909
5,L,6228773.313,2025587.834
Z,7,6296882.771,1953224.206
5,L,6213290.706,2019279.806
5,L,6212960.843,2019020.729
5,L,6252316.876,2036438.353
Z,7,6256898.566,2019886.426
P,P,6305913.073,1987481.544
P,P,6306058.868,1987566.883
Z,7,6318369.366,2076411.189
5,L,6395771.775,1855979.345
Z,7,6296675.064,1953375.725
3,D,6269332.437,2019374.441
3,D,6269788.863,2019055.447
5,L,6323504.62,2000640.337
5,L,6313112.796,1999658.021
Z,7,6329979.531,1814718.141
W,T,6213714.371,2019416.819
M,M,6211876.617,2022469.198
Z,7,6258178.01,1896447.283
5,L,6370390.016,2087421.763
5,L,6534061.139,1872353.325
Z,7,6374316.478,1917949.16
6,U,6535919.96,1879730.895
2,6,6248461.087,1942202.515
Z,7,6344939.217,2048300.188
M,M,6156497.83,2085524.98
M,M,6155428.621,2085757.744
M,M,6156535.338,2085511.314
M,M,6207582.888,2072046.784
M,M,6207028.493,2071769.472
4,C,6181075.271,2066137.754
5,L,6249993.0,2020452.0
M,M,6168781.691,2098866.865
Z,7,6283310.11,2011522.992
5,L,6231500.908,2029941.002
5,L,6558575.0,1822814.0
M,M,6208258.634,2073011.809
2,6,6580538.448,1884056.011
2,6,6584100.472,1882316.468
5,L,6244987.068,2024849.91
A,A,6275239.043,1933326.284
A,A,6275614.768,1933296.544
5,L,6493627.241,1998974.769
5,L,6495962.275,1999196.034
4,C,6171711.161,2074271.598
M,M,6175067.251,2072723.401
M,M,6207254.913,2072876.719
Z,7,6373874.141,1918638.357
5,L,6237392.545,2034764.175
Z,7,6242306.018,2025953.396
5,L,6382406.39,1929640.483
M,M,6158617.248,2086500.245
4,C,6323193.241,1823787.077
5,L,6237330.574,2035297.774
P,P,6415651.48,1860844.332
Z,7,6339610.63,2022763.38
5,L,6231531.154,2030544.329
7,7,6268325.255,2049890.742
Z,7,6339505.043,2023046.978
Z,7,6279613.777,2046627.676
Z,7,6374013.735,1919092.014
Z,7,6359579.803,2051782.309
5,U,6407040.801,1929110.228
Z,7,6276869.725,2010555.704
5,L,6231734.734,2030014.097
5,L,6231541.43,2029620.019
5,L,6231885.187,2029473.114
7,7,6337635.352,2021691.469
5,L,6231522.961,2029283.0
5,L,6231768.731,2030299.262
5,L,6231823.402,2029779.704
4,5,6487915.132,1831033.473
5,L,6339362.945,1809271.197
5,L,6339343.756,1809748.97
5,L,6401976.364,1844563.846
5,L,6237439.385,2034595.998
5,L,6462319.096,1967159.218
W,W,6358303.998,1906873.92
6,U,6538183.654,1879029.123
Z,7,6354893.759,1845066.433
5,L,6277158.956,1982827.206
6,U,6541659.183,1825297.68
P,P,6274002.936,1863559.981
M,M,6236855.545,2065156.965
M,M,6233146.027,2063624.853
5,L,6535522.0,1830384.0
5,L,6535318.075,1830109.645
M,M,6256197.0,1838121.963
M,M,6255337.88,1838572.6
M,M,6255855.025,1838347.534
Z,U,6271279.832,1975365.061
4,C,6330482.891,1804011.937
W,W,6264957.202,1922615.63
6,U,6441845.5,1892631.995
5,L,6442069.003,1892397.997
Z,7,6298206.493,2020887.905
5,L,6545135.375,1924939.783
M,M,6236114.462,2055578.788
M,M,6227531.937,2055419.068
M,M,6233252.957,2062556.829
7,7,6558608.772,2007421.116
5,L,6496343.268,1840377.266
Z,7,6257803.801,1904586.746
5,L,6353495.058,1783029.568
M,M,6219349.011,2072238.723
Z,7,6440080.932,1888229.28
Z,7,6326618.589,2015554.609
Z,7,6318207.057,2029094.903
5,U,6388081.767,2001660.231
Z,7,6318823.903,2028993.723
6,U,6375319.0,1948877.027
P,P,6274233.888,1863551.004
Z,7,6237142.697,2029154.758
5,L,6411115.478,2060770.198
Z,7,6270997.539,1974641.999
5,L,6252158.558,1988887.121
5,L,6248489.257,1945770.55
5,L,6296883.336,1877130.068
Z,U,6369440.257,1785861.968
Z,U,6452449.519,1932491.118
M,M,6295086.536,1824570.11
Z,U,6373719.352,1783707.315
Z,U,6470668.79,1932797.799
M,M,6294794.455,1827062.327
5,L,6307996.906,1831393.14
Z,U,6389012.965,1835863.512
Z,U,6388279.201,1838265.835
Z,U,6434476.151,1798993.136
3,4,6310393.675,1831461.465
3,4,6295368.475,1826739.898
M,M,6171334.952,2090628.903
5,L,6344030.036,1810122.809
5,L,6344388.854,1810122.066
M,M,6280842.786,1826809.703
M,M,6281839.163,1827019.827
M,M,6235234.193,2063405.925
M,M,6172955.949,2090406.503
M,M,6280909.119,1827035.61
M,M,6281011.727,1826629.299
M,M,6280783.485,1826585.485
M,M,6280795.386,1826246.876
M,M,6280726.857,1826357.151
M,M,6281487.07,1826466.677
5,L,6279045.433,1826283.942
5,L,6274484.111,1831813.71
M,M,6219860.693,2060551.505
M,M,6227912.932,2055310.003
M,M,6239421.204,2060224.09
M,M,6236731.994,2068823.033
M,M,6232344.79,2067153.552
M,M,6232597.202,2066109.337
Z,U,6447239.234,1790598.325
Z,U,6396929.428,1858282.811
5,9,6393873.442,1898536.787
Z,7,6311659.301,1789684.837
M,M,6296924.067,1827643.27
M,M,6296480.827,1827666.444
5,L,6331581.727,1981791.615
5,L,6332126.019,1982352.715
H,7,6311444.118,1790141.061
M,M,6220601.574,2058717.338
M,M,6220442.584,2058917.679
M,M,6220834.397,2058212.099
M,M,6228072.159,2055581.173
Z,U,6376827.781,1783504.847
W,W,6287735.384,2030510.411
Z,U,6467038.572,1927165.739
5,L,6320194.065,1913545.639
5,L,6300995.967,1846964.488
3,4,6295672.508,1825131.989
Z,L,6320857.135,1883816.348
Z,7,6320899.15,1884276.393
Z,7,6321255.457,1883420.909
Z,7,6321451.116,1884210.49
5,L,6321744.516,1885424.607
5,L,6280664.49,1869680.488
Z,7,6311280.503,1820274.472
5,L,6264141.589,1870580.927
Z,7,6311145.216,1820236.83
Z,7,6310558.999,1820630.773
5,L,6244633.333,2024348.806
5,L,6320930.386,1840955.775
Z,7,6308960.142,1821828.903
Z,7,6308822.782,1821836.231
Z,7,6327234.195,1883734.858
M,M,6294392.617,1823886.956
Z,7,6257979.036,1859797.059
5,L,6306764.395,1821835.006
Z,7,6308910.82,1821752.953
Z,7,6308996.156,1821713.564
Z,7,6308952.461,1821636.487
5,L,6345848.279,1884058.293
5,L,6278014.592,1859549.586
Z,7,6326786.24,1883612.318
Z,7,6326824.678,1883554.251
Z,7,6311136.4,1819080.171
Z,7,6311254.709,1820296.027
5,L,6277360.491,1859435.516
Z,7,6320934.502,1884039.88
Z,7,6320900.882,1883943.801
Z,7,6320513.375,1883900.693
Z,7,6320047.898,1883460.588
Z,7,6320987.751,1884193.049
Z,7,6321082.268,1883847.047
M,M,6295094.56,1826643.911
Z,7,6311211.653,1839236.113
Z,7,6311141.392,1839328.505
Z,7,6311072.775,1839324.948
Z,7,6327512.501,1883256.019
5,L,6263908.029,1871651.508
M,M,6291105.541,1798887.009
M,M,6290717.995,1798852.061
Z,U,6375304.562,1882944.522
5,L,6475704.5,1818825.383
3,4,6310805.356,1831454.131
5,L,6310323.322,1831353.811
Z,7,6296097.898,1828930.384
5,L,6309277.763,1826251.914
Z,7,6309904.671,1820485.44
Z,7,6308946.987,1821426.539
M,M,6274931.628,1836778.865
M,M,6274448.214,1837082.438
M,M,6274602.863,1836304.907
P,P,6298071.415,1822628.633
5,L,6258141.022,1977077.154
M,M,6290222.237,1800493.27
5,L,6270620.097,1852639.006
M,M,6274044.554,1836911.612
M,M,6274199.911,1836105.942
M,M,6273920.68,1835968.019
5,L,6251549.695,1994454.035
Z,U,6309462.177,1831182.799
5,L,6329888.16,1896358.18
M,M,6274139.863,1835246.313
M,M,6274032.971,1835230.168
5,L,6311417.824,1792725.747
5,L,6311295.047,1792226.19
Z,7,6259462.935,1898897.454
M,M,6290419.451,1798529.86
P,P,6296832.191,1820504.162
5,L,6307442.655,1796006.03
M,M,6290308.844,1799631.024
M,M,6291046.475,1799606.308
5,L,6252520.628,1991925.949
5,L,6251707.41,1991567.272
5,L,6306640.429,1821396.967
5,L,6338256.002,1897692.94
5,L,6304484.591,1865457.686
5,L,6274870.626,2004219.056
5,L,6274638.38,2005337.33
5,L,6306182.579,1832917.285
Z,7,6309174.495,1821548.071
Z,7,6309119.473,1821414.343
Z,7,6309037.148,1821595.565
M,M,6293523.198,1827300.637
Z,7,6295941.614,1825760.379
Z,7,6302306.794,1826494.366
5,L,6306127.0,1838286.0
5,L,6300339.502,1846651.996
M,M,6294766.412,1825979.059
M,M,6295370.459,1825413.618
5,L,6295179.674,1827510.427
M,M,6294479.462,1827509.337
Z,7,6295813.531,1825720.354
M,M,6295664.651,1827853.808
5,L,6289900.972,1847388.571
Z,7,6296124.428,1825989.219
Z,7,6296096.542,1825808.012
Z,7,6296282.617,1825498.634
5,L,6255796.703,1886680.564
5,L,6303522.398,1865024.642
5,L,6334750.666,1884303.725
5,L,6297842.794,1877462.248
5,L,6307809.919,1828005.923
5,L,6307624.74,1827959.092
5,L,6303271.848,1822843.966
5,L,6305494.834,1828117.087
M,M,6293988.785,1828207.804
Z,7,6321949.447,1884674.945
Z,7,6322148.892,1884340.424
Z,7,6322190.711,1885092.545
Z,7,6322409.625,1884551.639
Z,7,6322385.578,1884431.586
3,4,6318962.413,1844197.031
4,C,6319181.458,1844131.535
5,L,6318766.57,1843997.096
Z,7,6326605.12,1883259.66
M,M,6294148.387,1827981.161
M,M,6294350.288,1827876.359
P,P,6295334.005,1828605.007
M,M,6295144.619,1828530.313
Z,7,6308812.311,1821293.869
M,M,6267398.115,1837133.416
M,M,6267325.942,1836885.306
M,M,6267255.482,1836648.441
M,M,6267460.288,1836582.308
M,M,6269692.956,1832877.196
P,P,6295624.692,1828775.067
M,M,6295488.38,1828538.244
M,M,6267118.792,1836319.099
M,M,6268576.707,1832076.539
5,L,6298166.111,1822833.67
5,L,6275296.368,1835956.069
5,L,6299337.501,1785798.081
5,L,6323549.14,1885249.182
9,R,6285419.582,1842450.45
5,L,6283667.542,2003518.795
5,L,6294379.403,1962882.443
4,C,6285378.687,1926566.716
Z,7,6315991.244,1925915.58
Z,7,6329886.081,1956978.285
W,W,6322802.176,1959163.443
W,W,6322968.63,1960119.16
5,L,6333974.352,1864898.221
Z,7,6308985.518,1821295.133
M,M,6268110.729,1832137.454
5,L,6334626.274,1884074.514
M,M,6282007.356,1827908.154
M,M,6293819.435,1824611.83
M,M,6293576.869,1827998.412
5,L,6267602.667,1995704.105
5,L,6268216.585,1996250.833
Z,7,6308648.412,1821693.482
5,L,6268346.053,1996537.135
M,M,6282615.164,1827563.677
M,M,6282330.945,1827271.447
M,M,6282078.154,1827247.34
M,M,6281600.207,1827187.835
M,M,6294093.78,1827697.843
M,M,6293858.616,1827532.081
M,M,6294526.043,1827994.029
M,M,6295057.675,1828602.142
5,L,6267456.107,1996399.276
5,L,6267895.314,1996580.677
5,L,6268289.469,1996412.008
5,L,6306969.599,1832422.092
5,L,6267289.093,1996379.455
5,L,6267291.397,1996457.651
Z,7,6278853.892,1981682.239
M,M,6295660.632,1828220.48
5,L,6293176.465,1962096.853
Z,7,6306000.084,1830342.351
4,C,6323285.526,1888120.426
Z,7,6327171.09,1883344.434
5,L,6306901.047,1830326.478
5,L,6297458.524,1847685.692
P,P,6296622.565,1829096.336
M,M,6296275.638,1828976.382
5,L,6330163.467,1888903.566
Z,7,6309284.037,1821337.512
Z,7,6309098.351,1821276.951
Z,7,6309328.906,1821430.064
Z,7,6309410.741,1821373.321
Z,U,6336585.579,1940300.861
M,M,6295353.974,1826185.115
M,M,6295039.349,1827429.734
M,M,6294875.319,1827320.213
M,M,6294726.619,1827221.079
P,P,6310738.933,1831590.55
5,L,6306703.106,1821744.359
9,R,6306626.129,1821397.254
5,L,6306801.957,1821886.573
Z,7,6308867.431,1821675.695
5,L,6313948.693,1938850.085
5,L,6262645.933,1908893.943
5,L,6319247.868,1941947.316
5,L,6295577.194,1893918.447
5,L,6297390.595,1883366.203
5,L,6298397.886,1876955.948
