segclass,funclass,x,y
6,U,6396773.845,2085319.216
5,9,6396156.28,2084647.344
5,9,6395611.898,2084934.368
W,W,6251701.841,1923654.024
W,W,6251700.393,1923569.95
5,9,6436428.795,2070868.095
5,9,6436244.997,2071048.435
W,W,6249858.413,1928351.223
P,P,6255711.183,1850209.089
W,W,6251278.308,1924378.451
Z,7,6326636.835,1936921.999
5,L,6250379.666,2037714.54
6,U,6397151.721,2085282.341
6,U,6396855.065,2084576.149
5,L,6462357.803,2036770.763
Z,7,6256899.65,1958827.097
Z,7,6256844.002,1958892.494
Z,7,6256899.582,1958739.276
A,A,6291394.464,1951236.306
P,P,6262784.971,1873506.612
A,A,6291318.048,1951317.459
A,A,6291329.489,1951255.054
A,A,6291374.242,1951219.802
A,A,6291267.57,1951191.268
A,A,6291568.893,1951112.983
7,7,6261662.941,1984678.178
5,L,6256112.709,1886894.879
5,L,6262187.716,1984764.671
3,4,6306980.229,1985307.339
P,P,6262055.257,1873473.173
Z,7,6264129.965,1983597.084
Z,7,6269803.934,1930561.936
Z,7,6270519.927,1929925.727
5,L,6317766.269,1860014.566
5,L,6317487.148,1860009.999
5,L,6317096.027,1860003.375
5,L,6317096.978,1859435.0
5,L,6377510.499,2057701.957
Z,7,6291939.01,1950546.734
A,A,6291191.218,1949902.78
5,9,6477810.878,1889891.099
5,9,6478442.612,1891727.01
5,9,6477832.329,1889201.564
5,9,6477656.121,1889169.32
5,9,6477774.452,1888989.157
5,L,6292259.395,1951002.513
Z,7,6262429.993,1983183.653
Z,7,6291358.673,1951470.073
Z,7,6291507.459,1951288.966
Z,7,6291934.503,1950991.166
Z,7,6292179.364,1950797.263
5,L,6325315.239,1804383.715
Z,7,6291205.243,1951309.571
Z,7,6291319.655,1951382.504
Z,7,6290914.424,1951543.433
Z,7,6291002.13,1951550.065
Z,7,6292190.872,1950894.0
Z,7,6291483.002,1950054.088
Z,7,6291058.154,1949672.008
Z,7,6290866.65,1949827.418
5,9,6436201.283,2071187.054
5,9,6436787.267,2071141.018
Z,7,6262314.241,1983193.65
W,W,6300824.781,1814138.768
A,A,6291229.998,1950238.279
A,A,6291588.093,1950427.056
A,A,6291377.993,1950427.889
A,A,6291297.764,1950338.338
